"runCount","noiseLevel","distinctRunNo","decision","maximumSM","midpoint","slopeParam","maximumDSM","midPoint1Param","slope1Param","slope2Param","midPointDistanceParam","finalAsymptoteIntensityRatio","timeChoice","noiseType","maximumSMValue","slopeParamValue","midpointValue","mAError","realInput"
NA,0.15,1,"sigmoidal",7.89099367017626,19.5019626770777,6.00010824084844,NA,NA,NA,NA,NA,NA,"beta_2_0.25","multiplicative",7.85047314427793,1.52256160880368,18.6470318846405,0.00770064588502246,"sigmoidal"
NA,0,1,"sigmoidal",7.85047314366498,18.6470320556787,1.52256167248554,NA,NA,NA,NA,NA,NA,"beta_2_0.25","multiplicative",7.85047314427793,1.52256160880368,18.6470318846405,6.40204069922177e-10,"sigmoidal"
NA,1.5,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"equidistant","additive",1.09808140457608,11.3345640721484,10.2022792194039,NA,"sigmoidal"
NA,1.35,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"equidistant","additive",1.09808140457608,11.3345640721484,10.2022792194039,NA,"sigmoidal"
NA,1.2,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"equidistant","additive",1.09808140457608,11.3345640721484,10.2022792194039,NA,"sigmoidal"
NA,1.05,1,"sigmoidal",1.07638919113183,10.1496025395832,6,NA,NA,NA,NA,NA,NA,"equidistant","additive",1.09808140457608,11.3345640721484,10.2022792194039,0.0196763584180302,"sigmoidal"
NA,0.9,1,"sigmoidal",1.153041969064,8.1464655477663,0.581278632383018,NA,NA,NA,NA,NA,NA,"equidistant","additive",1.09808140457608,11.3345640721484,10.2022792194039,0.127990106203037,"sigmoidal"
NA,0.75,1,"sigmoidal",1.13600822410215,9.33844386994504,0.454903061486251,NA,NA,NA,NA,NA,NA,"equidistant","additive",1.09808140457608,11.3345640721484,10.2022792194039,0.11501421890698,"sigmoidal"
NA,0.6,1,"sigmoidal",1.07853867757128,10.0589315528343,4.36073563280842,NA,NA,NA,NA,NA,NA,"equidistant","additive",1.09808140457608,11.3345640721484,10.2022792194039,0.0226898826349886,"sigmoidal"
NA,0.45,1,"sigmoidal",1.1112859356127,10.2231852771443,6,NA,NA,NA,NA,NA,NA,"equidistant","additive",1.09808140457608,11.3345640721484,10.2022792194039,0.0128609911741298,"sigmoidal"
NA,0.3,1,"sigmoidal",1.12352542455712,10.1800950064942,6,NA,NA,NA,NA,NA,NA,"equidistant","additive",1.09808140457608,11.3345640721484,10.2022792194039,0.021012905516131,"sigmoidal"
NA,0.15,1,"sigmoidal",1.09320937201037,10.2043413372731,6,NA,NA,NA,NA,NA,NA,"equidistant","additive",1.09808140457608,11.3345640721484,10.2022792194039,0.00811511079938468,"sigmoidal"
NA,0,1,"sigmoidal",1.10078247161078,10.2294433975805,6,NA,NA,NA,NA,NA,NA,"equidistant","additive",1.09808140457608,11.3345640721484,10.2022792194039,0.00641426515639847,"sigmoidal"
NA,1.5,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uniform","additive",19.4542336124927,0.515746671612914,7.24132736586034,NA,"sigmoidal"
NA,1.35,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uniform","additive",19.4542336124927,0.515746671612914,7.24132736586034,NA,"sigmoidal"
NA,1.2,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uniform","additive",19.4542336124927,0.515746671612914,7.24132736586034,NA,"sigmoidal"
NA,1.05,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uniform","additive",19.4542336124927,0.515746671612914,7.24132736586034,NA,"sigmoidal"
NA,0.9,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uniform","additive",19.4542336124927,0.515746671612914,7.24132736586034,NA,"sigmoidal"
NA,0.75,1,"ambiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uniform","additive",19.4542336124927,0.515746671612914,7.24132736586034,NA,"sigmoidal"
